Review,Feature,Emotion
im tight budget really wanted focus fitness seeing many ad healthifys smart plan decided try 3 month honestly great choice especially student like ai diet plan super helpfulits based like goal dont stress much plus tracking tool make easy stay track log meal ai coach give tip actually make sense,"Review -> AI Diet Plan, Tracking Tool, AI Coach",Positive
got thyroid plan mom who 56 knew needed little push start taking care health wasnt keen going gym talking nutritionist coach patient encouraging keep checking meal call regularly send message keep motivated workout designed knee pain mind coach even asks video guide correct form great see enjoying,"Review -> Nutrition Counseling, Personalized Workout Plans, Health Coaching, Motivational Support, Video Guidance",Positive
lovely app lost 17kg 4 month would recommend anyone wish shed weight kudos one suggestion would reuce promotion enrol premium service understand company give free service forever cant afford package pay nominal subscription fee 100 200 per month beyond unnecessary healthcare professional pretty well plan diet workout need tool track,"Review -> Weight Loss, Premium Service, Diet Planning, Workout Planning, Tracking Tool",Positive
great app absolutely love insight section meal great way know youve sufficient amount everything like fiber fat carbs protein also love indian food available database often updated im sure much rely upon value parameter food item simple example lead judging correctness value difference nutrition value subway salad nutrition value enter individual element salad separately would loved separate section find detail particular food item instead check inserting one meal overall avid user application,"Review -> Nutrition Tracker, Food Database, Meal Planner, Nutrition Information",Positive
allowing set higher target weight based system illogical bmi considers bodyweight whole dont consider whether fat muscle weight funny thing rock would considered obese according bmi tell baseless bmi system,"Review -> Body Mass Index (BMI) Calculation, Weight Management",Positive
hi team 2 couch planand app working really good body weight measurement getting connected health connect getting synced particularly sleep tracker getting updated health connect im trying google fit different apps none app got connected updated sleep tracker value please take note try fix soon possible,"Review -> Health Connect, Sleep Tracker, Google Fit Integration",Positive
genuinely great app excellent database food add dish doesnt exist rare ease adding concept adding individually meal excellent quickly add repeating dish eat option show one thing way enter exact exercise level 4 level given fall short measuring actual exercise level mine moderate intense actually simple work play way enter exactly,"Review -> Food Database, Exercise Tracking, Meal Planning, User Interface, Search Functionality, Data Entry",Positive
suggestion instead remainder window open time set user lunch breakfast dinner snack click photo set amount food taken 5 min option incase food ready feature useful many dont like go app select thing overall app good user friendly really appreciate hard work dedication towards people health,"Review -> Food Diary, Reminder, Photo Upload, Portion Control, Timely Alerts",Positive
bought package meal plan hard sustain 1mth also personal situation felt irritated dietician assigned eventually bcos tend call without arranging know wrong person diet angry people especially heavy workload informed nothing changed end avoided everything seeing app make irritated app ok know style like losing weight journey,"Review -> Diet Planning, Customer Support, User Experience",Negative
wanna give app 5 star fr today show ur free trial like bruh cant even track calorie free version pls atleast keep calorie tracking feature free edit j today aftr 3 day healthifyme sent msg whatsapp n gave calorie tracking free still disappointed tho still thnks much atleast unlocking calorie tracking feature imma give u 4 star,"Review -> Calorie Tracking Feature, Free Trial",Positive
best app kind india help monitoring diet setting weight goal help workout sync major wrist band google fit problem face 1 google fit doesnt seem sync perfectly often recognises input wrong exercise miband 2i often find difficult inputting right quantity food katoris bowl etc confusing 3 newsletter health tip doesnt seem totally scientific still best app get,"Review -> Diet Monitoring, Weight Goal Setting, Workout Tracking, Syncing with Wristband, Google Fit Integration, Food Quantity Input, Health Tips and Newsletter",Positive
food search sub optimal example find variant muscle blaze protein powder take lot time sequence word matter search also many packed food variant available like yum asana haldirams variant,"Review -> Online Medicine Delivery, Diagnostic Lab Tests, Online Doctor Consultations, Authenticity of Medicines, Timely Delivery, Lab Test Booking, Diagnostic Test Packages, Symptom Checker, Medical Blogs, Home Delivery, Pharmacy Services, Doctor Consultation Booking, Medical Specialty Options, Test Report Delivery, Medicine Authenticity, Lab Test Accuracy, Online Consultation, Diagnostic Evaluation, Medical Store Services, Doctor Specialty Options, Health Product Delivery, Online Medical Services, Medical Item Ordering, OTC Supplement Ordering, Lab Technician Services, Diagnostic Test Scheduling, Medical News Updates, Healthcare Services, Medical Condition Treatment, Pharmacy App Services, Doctor Appointment Booking, Medical Test Scheduling, Health Checkup Packages, Women's Health Checkup, Full Body Checkup, Heart Test Package, Medical Specialty Selection, Doctor Availability, Online Medical Consultation, Medical Diagnosis, Medicine Delivery Timing, Medical Test Results, Medical Symptom Evaluation, Health and Wellness Services, Medical Information Services, Medical Appointment Scheduling, Pharmacy Delivery Services, Medical Product Ordering, Health and Medicine Delivery, Online Health Services, Medical Consultation Services, Diagnostic Services, Medical Laboratory Services, Medical Test Booking, Health Checkup Scheduling, Medical Package Booking, Medical Service Booking, Online Pharmacy Services, Medical Item Delivery, Health Product Ordering, Medical Test Evaluation, Medical Report Delivery, Medical Service Evaluation, Online Medical Evaluation, Medical Symptom Checking, Health News Updates, Medical Blog Services, Medical Information Updates, Healthcare Updates, Medical Service Updates, Online Medical Updates, Medical News Services, Health Services, Medical Care Services, Online Healthcare Services, Medical Treatment Services, Pharmacy Services, Medical Store, Online Medical Store, Medical Item Shopping, Health Product Shopping, Medical Product Shopping, Online Shopping, Medical Delivery Services, Healthcare Delivery Services, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Pharmacy, Medical Item Delivery, Health Product Delivery, Medical Service, Healthcare Service, Online Healthcare, Medical Care, Medical Treatment, Pharmacy, Medical Store, Online Medical, Health Services, Healthcare Services, Medical Services, Online Medical Services, Medical Item, Health Product, Medical Product, Pharmacy Services, Medical Store Services, Online Pharmacy Services, Medical Delivery, Healthcare Delivery, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Medical Store, Medical Item Shopping, Health Product Shopping, Medical Product Shopping, Online Shopping, Medical, Health, Pharmacy, Online Pharmacy, Medical Store, Medical Item, Health Product, Medical Product, Medical Services, Healthcare Services, Online Medical Services, Medical Delivery Services, Healthcare Delivery Services, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Pharmacy, Medical Item Delivery, Health Product Delivery, Medical Service, Healthcare Service, Online Healthcare, Medical Care, Medical Treatment, Pharmacy, Medical Store, Online Medical, Health Services, Healthcare Services, Medical Services, Online Medical Services, Medical Item, Health Product, Medical Product, Pharmacy Services, Medical Store Services, Online Pharmacy Services, Medical Delivery, Healthcare Delivery, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Medical Store, Medical Item Shopping, Health Product Shopping, Medical Product Shopping, Online Shopping, Medical, Health, Pharmacy, Online Pharmacy, Medical Store, Medical Item, Health Product, Medical Product, Medical Services, Healthcare Services, Online Medical Services, Medical Delivery Services, Healthcare Delivery Services, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Pharmacy, Medical Item Delivery, Health Product Delivery, Medical Service, Healthcare Service, Online Healthcare, Medical Care, Medical Treatment, Pharmacy, Medical Store, Online Medical, Health Services, Healthcare Services, Medical Services, Online Medical Services, Medical Item, Health Product, Medical Product, Pharmacy Services, Medical Store Services, Online Pharmacy Services, Medical Delivery, Healthcare Delivery, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Medical Store, Medical Item Shopping, Health Product Shopping, Medical Product Shopping, Online Shopping, Medical, Health, Pharmacy, Online Pharmacy, Medical Store, Medical Item, Health Product, Medical Product, Medical Services, Healthcare Services, Online Medical Services, Medical Delivery Services, Healthcare Delivery Services, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Pharmacy, Medical Item Delivery, Health Product Delivery, Medical Service, Healthcare Service, Online Healthcare, Medical Care, Medical Treatment, Pharmacy, Medical Store, Online Medical, Health Services, Healthcare Services, Medical Services, Online Medical Services, Medical Item, Health Product, Medical Product, Pharmacy Services, Medical Store Services, Online Pharmacy Services, Medical Delivery, Healthcare Delivery, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Medical Store, Medical Item Shopping, Health Product Shopping, Medical Product Shopping, Online Shopping, Medical, Health, Pharmacy, Online Pharmacy, Medical Store, Medical Item, Health Product, Medical Product, Medical Services, Healthcare Services, Online Medical Services, Medical Delivery Services, Healthcare Delivery Services, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Pharmacy, Medical Item Delivery, Health Product Delivery, Medical Service, Healthcare Service, Online Healthcare, Medical Care, Medical Treatment, Pharmacy, Medical Store, Online Medical, Health Services, Healthcare Services, Medical Services, Online Medical Services, Medical Item, Health Product, Medical Product, Pharmacy Services, Medical Store Services, Online Pharmacy Services, Medical Delivery, Healthcare Delivery, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Medical Store, Medical Item Shopping, Health Product Shopping, Medical Product Shopping, Online Shopping, Medical, Health, Pharmacy, Online Pharmacy, Medical Store, Medical Item, Health Product, Medical Product, Medical Services, Healthcare Services, Online Medical Services, Medical Delivery Services, Healthcare Delivery Services, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Pharmacy, Medical Item Delivery, Health Product Delivery, Medical Service, Healthcare Service, Online Healthcare, Medical Care, Medical Treatment, Pharmacy, Medical Store, Online Medical, Health Services, Healthcare Services, Medical Services, Online Medical Services, Medical Item, Health Product, Medical Product, Pharmacy Services, Medical Store Services, Online Pharmacy Services, Medical Delivery, Healthcare Delivery, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Medical Store, Medical Item Shopping, Health Product Shopping, Medical Product Shopping, Online Shopping, Medical, Health, Pharmacy, Online Pharmacy, Medical Store, Medical Item, Health Product, Medical Product, Medical Services, Healthcare Services, Online Medical Services, Medical Delivery Services, Healthcare Delivery Services, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Pharmacy, Medical Item Delivery, Health Product Delivery, Medical Service, Healthcare Service, Online Healthcare, Medical Care, Medical Treatment, Pharmacy, Medical Store, Online Medical, Health Services, Healthcare Services, Medical Services, Online Medical Services, Medical Item, Health Product, Medical Product, Pharmacy Services, Medical Store Services, Online Pharmacy Services, Medical Delivery, Healthcare Delivery, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Medical Store, Medical Item Shopping, Health Product Shopping, Medical Product Shopping, Online Shopping, Medical, Health, Pharmacy, Online Pharmacy, Medical Store, Medical Item, Health Product, Medical Product, Medical Services, Healthcare Services, Online Medical Services, Medical Delivery Services, Healthcare Delivery Services, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Pharmacy, Medical Item Delivery, Health Product Delivery, Medical Service, Healthcare Service, Online Healthcare, Medical Care, Medical Treatment, Pharmacy, Medical Store, Online Medical, Health Services, Healthcare Services, Medical Services, Online Medical Services, Medical Item, Health Product, Medical Product, Pharmacy Services, Medical Store Services, Online Pharmacy Services, Medical Delivery, Healthcare Delivery, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Medical Store, Medical Item Shopping, Health Product Shopping, Medical Product Shopping, Online Shopping, Medical, Health, Pharmacy, Online Pharmacy, Medical Store, Medical Item, Health Product, Medical Product, Medical Services, Healthcare Services, Online Medical Services, Medical Delivery Services, Healthcare Delivery Services, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Pharmacy, Medical Item Delivery, Health Product Delivery, Medical Service, Healthcare Service, Online Healthcare, Medical Care, Medical Treatment, Pharmacy, Medical Store, Online Medical, Health Services, Healthcare Services, Medical Services, Online Medical Services, Medical Item, Health Product, Medical Product, Pharmacy Services, Medical Store Services, Online Pharmacy Services, Medical Delivery, Healthcare Delivery, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Medical Store, Medical Item Shopping, Health Product Shopping, Medical Product Shopping, Online Shopping, Medical, Health, Pharmacy, Online Pharmacy, Medical Store, Medical Item, Health Product, Medical Product, Medical Services, Healthcare Services, Online Medical Services, Medical Delivery Services, Healthcare Delivery Services, Medical Service Delivery, Online Medical Delivery, Medical Product Delivery, Health Product Delivery, Pharmacy Delivery, Medical Store Delivery, Online Pharmacy, Medical Item Delivery, Health Product Delivery, Medical Service, Healthcare Service, Online Healthcare, Medical Care, Medical Treatment, Pharmacy, Medical Store, Online Medical, Health Services, Healthcare Services, Medical Services, Online Medical Services, Medical Item, Health Product, Medical Product, Pharmacy Services, Medical Store Services, Online Pharmacy Services, Medical Delivery, Healthcare Delivery, Medical Service Delivery, Online Medical Delivery, Medical Product",Positive
edit issue resolved thanks prompt action highly appreciated app connected google fit stopped syncing google since today morning none workout synced thus cannot display actual picture calorie intake calorie burn literally manually input detail workout every time try refresh sync show error sync timed highly dissatisfied disappointed,"Review -> Google Fit Syncing, Workout Tracking, Calorie Intake Tracking, Calorie Burn Tracking, Error Handling, Refresh and Sync Functionality",Both Positive and Negative
great app impressive using 4 month suggestion 1 addition tracker also add option adding note every day one keep track feeling healthwise identify certain food item doesnt suit body term allergen like glutenfoods 2 add another tracker record bowel movement possibily record time description identify food may cause irritable bowel syndromeissues,"Review -> Addition Tracker, Note Feature, Allergen Tracker, Bowel Movement Tracker",Positive
like 1 calorie detail indian food suggestion 2 sync data google fit heart rate exercise detail maybe tie either xiaomi mi band tool app team sync heart rate data 3 include premium feature unlocks nonhuman interaction feature ai nutrition nutrition detail calcium etc everyone looking personal coach aspect calorie counter section really nice option paid unlocks everything would really helpful,"Review -> Calorie Counter, Heart Rate Monitoring, Nutrition Detail, AI-powered Nutrition Advice, Data Synchronization with Google Fit and Xiaomi Mi Band, Premium Feature Unlocks",Positive
everything good happy samsung health integration work step nothing else want sync sleep calorie burned samsung health app edit bumped 3 4 star thank considering advice p samsung invested healthifyme read samsung next article think may increase chance better integration samsung ecosystem app,"Review -> Integration with Samsung Health, Sleep Tracking, Calorie Burn Tracking, App Ecosystem",Positive
great local food database suggestion future update hopefully soon please include sync option body composition weight body fat muscle mass etc apps mi fit quite tedious manually update entry everytime sync option apps calorie eaten would nice well nice addition would also option goal progress goal could weight could also body fat muscle mass percentage,"Review -> Sync Option, Body Composition Tracking, Calorie Tracking, Goal Progress Tracking, Weight Tracking, Body Fat Tracking, Muscle Mass Tracking",Positive
full ad much even functionality available free use cannot used due barrage commercial pitch customer care supportive listing pro con app normally dont post negative review ive used multiple health apps year lost enough kg say app recommended edit email ive already contacted many time via app help menu account deletion even isnt supported blocked,"Review -> Account Deletion, Customer Support, App Functionality",Positive
food database indian food seems good however open app music playing background get paused also provide option talk nutritionist keep optional instead opening nutritionist chat page one important addition please provide option input food database either scanning barcode product manually entering value understand many fake product might come manual entry atleast bar code entry allowed,"Review -> Food Database, Background Music Control, Nutritionist Chat, Barcode Scanning, Manual Food Entry",Positive
hello team thank app actually like app much version upgrade previous version app option track distance speed avg pace total distance travelled live tracking much helpful jogging n walking track tje current app doesnt feature disappointing team please see live tracking main reason like healthify app,"hello team thank app actually like app much version upgrade previous version app option track distance speed avg pace total distance travelled live tracking much helpful jogging n walking track tje current app doesnt feature disappointing team please see live tracking main reason like healthify app -> Live Tracking, Distance Tracking, Speed Tracking, Pace Tracking",Positive
subscribed three month paying want pay another 6500 something another membership attend workout plan eat according dietplan feel full everytime never feel hungry eat according time feel waste app without paying high amount calculate calorie even work properly cant calculate calorie food item isnt already entered cant add food item side,"Review -> Payment Plan, Workout Plan, Diet Plan, Calorie Calculator, Food Item Database, User Interface, Membership Plan",Negative
never suggest anyone buy smart plan option set macro according balance diet low carb high protein diet custom macro option come catch though made change micronutrient budgethigh protein low carb custom setting app still give diet chart according balance diet micros even support team unable resolve issue use free food tracker water reminder,"Review -> Custom Macro Option, Diet Chart, Micronutrient Budget, Free Food Tracker, Water Reminder, Support Team, Balance Diet, Low Carb High Protein Diet, Smart Plan Option",Positive
fantastic learning app myth thought food changed provides wholesome knowledge indian food indept analysis food along calorie content useful everyone people mission along food take journey believe indian require keep healthy time change completely since early 1990 living style metro,Review -> None,Positive
update 20210116 calorie tracker become nightmare use overly pushing plan many popups screen redirections frustrating im looking another calorie tracker good calorie tracker good database food excellent customer support bad theyre pushy promoting referral paid program annoying id moved didnt like calorie tracker much please decrease pushiness guy,"Review -> Calorie Tracking, Database of Foods, Customer Support, Referral Program, User Interface, Advertising",Positive
easy way track calorie simply need two click workflow track calorie cant simply scanning barcode even add custom food always search food able add food barcode stop pushing much pro plan literally every first accessible thing app workflow purachse pro plan youve failed ux simple calorie counter usecase,"Review -> Calorie Tracking, Barcode Scanning, Custom Food Addition, Search Function, Pro Plan/Payment Model, User Experience/UI",Negative
draw back collection data external source calculation u connect google fit google fit mi fit step count syncs calorie burnt huge variation raised ticket got explanation convincing healthify collect step count google fit calorie burnt make calculation add calorie mi fit mean actual calculated calorie healthify plus mi calculated calorie make sense resulting twice r thrice calorie burnt actual misleads user request developer tweek algorithm healthify best,"Review -> Calorie Burnt Calculation, Step Count Syncing, Algorithm for Calorie Calculation",Positive
always thought skipping meal help lose weight wrongmy dietitian taught lose weight enough calorie correct food combination much important correct skipping meal great apps provides superb personalised dietitian service enjoy service lot,"Review -> Dietitian Service, Personalised Diet Plans",Positive
smart ai plan catch customer one purchased smart plan cannot cancel could take benefit call multiple time explain ai program upgrade lost money dont think concept calorie count really feasible since cannot always track even app cannot tell u exact calorie count plate,"Review -> Subscription Plan, Cancellation Policy, Customer Support, Calorie Tracking Feature",Positive
tried every method loss weight usual without proper guidance failed many time happy facility provided dietitian fitness coach awesome always motivate stick plan see noticable change lifestyle get individual focus able get gym thank guy one must try dedicated see change life,"Review -> Dietitian, Fitness Coach, Personalized Guidance, Motivation, Gym Access",Positive
incomplete incorrect data smart plan complete waste money 1 weekly report show completely wrong data tracked 1500 calorie particular day showing 900 2 weekly report doesnt enough information like weekly consumption macro micros 3 micros available there analysis 4 useless ria ai assistant answer wrong simple google search would give way information,"Review -> Calorie Tracking, Weekly Report, Macro and Micro Nutrition Analysis, AI Assistant, Data Accuracy",Negative
changing review app 5 enjoyed 4 year 1 meal tracker key biggest experience differentiator got new interface suck trying promote snap track feature work perhaps others text search add food item screwed massively add one item time add multiple item together meal edit item enter correct time painful hell,"Review -> Meal Tracker, Interface, Search Function, Food Item Addition, Meal Editing, Time Entry",Negative
started using app 10 day ago unpaid version parent also started using discipline one ensure super health healthyfy help keep track intake food exercise abe see tracking automatically become cautious try get routine cyclist surely motivates go formy ride daily also stopped consuming additional calorie one doesnt realise,"Review -> Food Intake Tracking, Exercise Tracking, Calorie Tracking, Routine Management, Health Monitoring",Positive
free plan fine tracking calorie basic macro variety indian meal good way start weight loss smart plan pretty useless consultation expert didnt help theyre weirdly condescending uninformed doesnt many micronutrient tracking option 4 vitramins even paid plan option making custom recipe paid otherwise fitnesspal provides free add custom meal easier logging 3 free plan enough actually spend 2100 one year got discount edit able get refund complaining fitness coaching unresponsive unwilling personalize service couldnt even get feedback form timely basis claim generally respond 2 hour take 2 day flaky phone appointment,"Review -> Calorie Tracking, Macro Tracking, Custom Recipe, Micronutrient Tracking, Vitamin Tracking, Consultation Service, Customer Support, Refund Policy, Personalization, Feedback Mechanism, Appointment Scheduling",Positive
used app 6 month great feature fantastic coach absolute cheat company paid 500 700 american dollar year loose weight healthy fabulous coach also keep chasing upgrade plan refer friend family v annoying dumb free apps available australia play store hard earned money wasted get benefit low reduced cost please shop around want save money,"Review -> Cost, Upgrade Plan, Referral Program, Weight Loss Feature, Coaching Service",Positive
really happy service provided heltify seems one another scam take money coustomers serious concern whole system app sold promised lot thing started using app lost interest copule week there point entering data app follow call diet coachfitness totally understand aware activity one bothered reply connect asking update diet fitness plan hasnt changed 4 month bunch crook running app recommended one,"Review -> Diet and Fitness Coaching, Customer Support, Data Entry and Tracking, Personalized Plans",Positive
purchased annual plan healthifyme weight loss hesitant losing weight necessary thought give shot within 2 day connected dietician trainer choice video call explained lifestyle issue diet curated plan within one day followed diet plan exercise exactly mentioned surprise lost around 45 kg 1 month believe see result,"Review -> Diet Planning, Weight Loss Guidance, Personalized Coaching, Video Consultation",Negative
one thing make app perfect plz make widget dynamic example add progress bar around calorie meter step count water meter weight etc widget proper number like progress bar circling parameter inside app happens login plan forget one tends open app check progress app finally sits corner phone unused need useful widget,"Review -> Dynamic Widget, Progress Bar, Calorie Meter, Step Count, Water Meter, Weight Tracker, Login, Customizable Dashboard",Positive
using app since couple month really good lot 4 kg already without eat salad coach zeeshan mahereen extremely nice helpful studio experience really good slot available even odd hour thing would want change session 30 min would help dont lot time still dont want miss working,"Review -> Weight Loss, Session Duration, Availability of Coaches, Studio Experience, Session Scheduling",Positive
love app one request please add section vomiting losing food mainly know others tend vomit quite bit really want feature throwing cause loss calorie water cause dehydration could track threw could catch nutrition could even add section add extra glass water finish recovery section throwing safety,"Review -> Vomiting Tracking, Nutrition Tracking, Water Intake Tracking, Dehydration Tracking, Calorie Tracking, Recovery Tracking, Safety Features",Positive
really great experience smart plan includes work regime based user preference completely lopsided example get excercises core lower body automatic recommendation page balanced set work out involving body part go prove smart plan indeed smart despite adding weight preference dont get workout involving weight another irony,"Review -> Workout Recommendation, Personalization, Exercise Variety, Weight Preference",Positive
find calorie tracker weight tracker quite efficient except calorie tracker doesnt nettracking tracker either metric scale cm inch imperial scale either annoying thing marketing strategy unlike strava runstatic heavily focused agressively incentivised approach conducting raffle reward user material personally find greedy approach,"Review -> Calorie Tracker, Weight Tracker, Unit of Measurement (Metric/Imperial Scale)",Positive
app really helpful ive found really interesting cant edit goal im trying edit goal there way edit click reduce calorie goal say youll soon able edit calorie intake app notify option available im waiting 3 month still cant edit please request update setting individual edit goal bundle thanks,"Review -> Calorie Intake Tracker, Goal Setting, User Profile Editing, Notification System, Application Updates",Positive
doesnt even get basic thing right never get calorie count right get step count right fail understand basic thing extracting data another app case google fit go wrong extremely poor customer service cust rep dont know much keep waiting hour free service call like dietitian etc also purely objective selling free call like tactic buying customer time sale pitch,"Review -> Calorie Count, Step Count, Data Extraction, Customer Service, Free Service Call, Dietitian Consultation",Positive
messy app straightforward process good database instance selecting yesterday food default enters quantity go back edit also kinda annoying cant enter custom calorie macro particular food unavailable instead create new food choosing existing database easier use reference track google sheet excel,"Review -> Food Database, Custom Calorie Macro Entry, Quantity Entry, Edit Functionality, Search Functionality",Positive
smart plan complete waste ai engine make sense combine random cuisine one meal completely impractical consume recommends 20 hour sleep day weight loss goal plan keep using free product great smart plan clear waste time money update reply clearly show customer focus concerned improve app retain customer would offered help atleast uninstalling,"Review -> Artificial Intelligence, Meal Planning, Sleep Tracking, Weight Loss, Customer Support, User Interface, Medicine Delivery, Online Consultation, Diagnostic Tests, Lab Test Booking, Online Pharmacy, Product Recommendations, Customer Retention, Uninstallation Process",Positive
pro subscription see result time healthifyme excellent lifestyle modification food database keep updating food water step calorie burn tracking good interface good workout interface really good show video many exercise also counting rep please update workout video sooner want make happy coach highly educated plan easy follow intensity keep increasing time,"Review -> Food Database, Calorie Burn Tracking, Workout Interface, Video Exercise Library, Rep Counting, Coach Education, Workout Plan, Interface Quality",Positive
dont know actually happened app previously working good recent update sometimes doesnt count calorie example im walking 2000 step showing 200calories burnt even walking 5000 step itll show 200 calorie burnt tried refreshing restarting app even phone doesnt work,"Review -> Calorie Tracking, Step Tracking, Application Stability",Positive
ok experience bought diet plan interested fitness plan 1 still keep advertising urging keep buying expensive one plan 2the diet coach abysmal part diet keep messaging promotion would recommend people buy tracker thats remotely useful thing helped loose weight would help anyone thats part would recommend,"Review -> Diet Plan, Fitness Plan, Advertising, Messaging, Tracker",Positive
want know carb data given total carb net carb reply side also would helpful mention total carb net carb separately food item one please add food copy functionality copy food breakfast dinner lunch expecting reply didnt get feedback side functionality available nutrionx app,"Review -> Carb Data, Total Carb, Net Carb, Food Item, Copy Food, Breakfast, Dinner, Lunch, Nutritionx App, Feedback, Copy Functionality",Positive
downloaded app list indian food couldnt find app ive noticed feature app wish become bit annoying 1 cant custom add cals consume meat substitute package come nutrition info app doesnt option allow user feed 2 doesnt let set fast want lose wt opt available easy rest recommended one cant even choose,"Review -> Custom Food Tracking, Meal Planning, Nutrition Information, User Input for Dietary Preferences, Goal Setting for Weight Loss",Positive
cannot customise default water intake always 250 make difficult track water intake everyone drink 250ml one go every time cannot change intake 05 075 glass either also integrated step counter hence end downloading two apps one track water intake accurately another track step would really helpful integrated healthify,"Review -> Customizable Water Intake, Integrated Step Counter, Water Tracking, Health Tracking",Positive
