Review,Feature
"I love home assistant but recently I've been getting an android message that says: ""Home assistant isn't Responding"" about 10 times a day regardless of what I'm doing on my phone. The worst part is that it appears over other apps and disrupts the use of my phone. I'm not sure what's changed to suddenly be giving me this issue. I've tried rebooting the phone and reinstalling the app. Nothing helps.","Review -> Stability and Reliability, Notification System, App Performance"
"The app is great! But i noticed that when you look at a camera stream through the app and you return to the home screen, the stream goes on and it keeps consuming a lot of data. Fortunately I noticed this really quickly but still lost around 300mb in a few minutes. My phone allows to me to monitor the background data usage. I double checked if this was the case. 4/5, fix this quickly to get 5/5.","Review -> Background Data Usage, Camera Stream Feature"
"App on the phone is flawless and works really well. Saw Android Auto had some love, however in it's current state it is near useless as it just lists everything. It's a bit like with the base screen when you first log into HA, shows everything. Except on AA it is a nightmare to navigate through. Is there a way to curate the screen to have the info that is important from the car?","Review -> Android Auto Functionality, User Interface, Customization Options"
beware mobile app users: downloaded backup.bin files are not usable for restore. must use web UI to get .tar file.,"Beware mobile app users: downloaded backup.bin files are not usable for restore. must use web UI to get .tar file. -> Backup and Restore, User Interface"
"Amazing other than one glaring issue; The location update takes too long. I have made sure it has no battery optimisation, and anything else I can do in the app settings. I moved to this app to get rid of own tracks however it seems I need to reinstall owntracks unless I'm doing something wrong. (One plus 7 pro, homeassistant 0.103.5, app v 1.3.1)","Review -> Location Update, Battery Optimization"
"It works perfectly 95% of the time, but every now and then it will decide it can't connect to either the internal or external URL. Sometimes I can force close to fix it and sometimes not. I'm always able to access from my laptop connected to the same IP though, which leads me to it being a problem with the app.","Review -> Connectivity, App Stability"
"Can we make the back button, go back? Not close the app every time I want to dismiss a pop-up card. Instead of just pushing back, I have to reach to the top left corner of my giant phone to press X.","Review -> Navigation, User Interface, Pop-up Card Dismissal"
"I am on Android 11 and my wife is on Android 12. On my phone the following day, the app can't find the server. Nor can I reach it from the chrome browser on my phone so I don't know if this is an Android 11 issue or the Home assistant server. In either case I have to clear data/cache, remove, reboot and reinstall so not viable in the long term. I was a bit surprised my battery status and charge remaining was exposed, don't remember giving permission for that at install time.","Review -> Connectivity, Server Accessibility, Data Privacy, Permission Management, App Stability"
"rarely works without manually checking and updating. as with many opensource projects, there are lags in updates. Also quite hostile discussion groups. Better to look for a commercially available framwork.","Review -> Update Frequency, Community Support, Automation Reliability"
"Good app, but won't stop hammering my sensors no matter what I have set. Frequency is every 15 min and persistent connection turned off. I only have the default sensors + location. But every time I open the app, I get a sensor update notification multiple times per min until I close the app. It's worst when I'm looking at the sensor list. The hit on battery gets so bad if left in the background.","Review -> Sensor Update Frequency, Persistent Connection, Battery Life, Notification System"
"Works great except for one thing. If you make a convenient widget for toggling a light for example, once you leave your home network the button will spin and become unusable forever, even if you return to your network. Having to open the app to toggle lights makes the whole setup not worth it sadly.","Review -> Remote Access, Widget Functionality, Network Connectivity"
"Device tracking based on the wifi network does not work on a Google Pixel 7. Only works based on a GPS, but completely useless as it retains last seen gps location even the phone is not on the location anymore, and not on the local wifi. It shows home no matter what. Phone obviously need to be online and the gps on to send the current location. All other brands of phones and tablets I have work fine based on the home wifi.","Review -> Device Tracking, Location Services, Wifi Connectivity, GPS Services"
"Its indistinguishable from the view you get when you use ""add to homepage"" from chrome on android, apart from one sidebar menu item that says app configuration that currently just shows version info. Actually found another difference, swiping down from top of screen does not refresh the view like it does with chrome. I guess this is a start to add more functionality.","Review -> User Interface, Refresh Functionality, App Configuration"
"I moved my HA server out of the wireless network segment. (In fact I virtualised it into a DMZ . I removed the android cache and storage , uninstalled , rebooted and re-installed the app. Still trys to hit the old server URL!! - doesn't forget it - then throws a hissy fit because it can't find the server and forces me to resubmit the new URL EVERY DAMNED RESTART . Such a pain !","Review -> Server URL Configuration, Data Persistence, App Restart Behavior"
"Please fix the issue when reconnecting with Authentik, first login is fine, but after it expires, any attempt to connect after that seems to cause a loop where it keeps sending the link to my browser, I have a pixel 6 pro and it send it so quickly that it lags my phone a bit until I can force stop the app, also a mini dos attack against my server, only choice is to clear everything with app, so I can login like it was the first time again, and setup all permissions again (which is also a pain).","Review -> Authentication, Authorization, Reconnection, Performance, Security, User Experience"
"I am trying to change/set the area of some devices through de app, from outside of my house. And the app seems not to change (it is not updating the field). I could find and workaround. Type the whole name, and then click the item. And it works to keep it selected and then, Update the device.","Review -> Device Control, Remote Access, User Interface"
"I really like that this app so as full featured as the web browser view. What I don't like, app suddenly not working the next day for no real reason on both phone & tablet The fix for me, clear cache, then data. Uninstall. Reinstall and set up again = app now working ð¤·ââï¸ Update,app stopped working. Did the same process as before, didn't work. Please fix!! Update 13/10 same issues. Please fix the app","Review -> App Stability, Cache Management, Data Management, Installation/Reinstallation Process"
"Working reasonably well and now we have easy actionable notifications, which is great. The last update appears to have changed the way the widgets look and not for the better. The smaller round buttons looked good, but now they are large white rectangles that are not as nice to see on the home screen.","Review -> User Interface, Widget Customization, Notification System"
"I tried multiple times to get this app to work but no matter what all it says is ""unable to connect to home assistant"" and the only option available is retry. I can access it just fine on my computer (where I can see ""log in attempt failed"" notifications with my phone's IP address) so I know everything is working from that end. I've uninstalled and reinstalled the app and it still won't work.","Review -> Connectivity, Login/Authentication"
"Crashes constantly. Had to completely clear cache and data for it to stop crashing which effectively disables it because it is no longer logged in to my account. Opening the app and logging in again starts the cycle of endless crashes once more. Disappointing because for the first day of using it it seemed quite neat. From then on, unusable. UPDATE: the app has been stable for me for a while now so upgrading the score! UPDATE2: Still crashes and burns through battery when away from home","Review -> Stability, Battery Life, Login/Authentication"
"There is super anoyying bug that didn't let me access my server because this app can't resolve the domain name, why? I can access my server with normal browser so atm i will just use android browser than this app since it so much realible than this!","Review -> Domain Name Resolution, Connectivity, Reliability"
"I really want this to be better, but it isn't. It's pretty okay on the web interface, but that's not what we're waiting here. We're rating the app version and it sucks. It's constantly having connection issues and it's not my router or Internet. A few days after and update it stops working and refuses to work until the next update until a few days later.. well you get the picture. It's like the instance is blocking just my phone inconsistently.","Review -> Connection Stability, App Performance"
Fantastic works well controlling everything from a raspi 4B+. Only issues and this could be my fault but I'm finding I cannot edit anything with the app. Just control items only. Would be great if I could edit things like I do with the web interface. Apart from that zero issues.,"Review -> Edit Functionality, Control Functionality"
"Would be nice to just set homeassistant.local:8123 as IP adress to avoid issues with dynamic IPs. It works fine in the browser, so it would be really cool to have it in the app as well. Other than that it's a nice app for Homeassistent for getting notifications and having quick access to the platform.","Review -> IP Address Configuration, Accessibility via App"
"Unable to connect to server. Traefik reverse proxy, letsencrypt certs, web works, app doesn't work. Force stop && clear cache doesn't help.","Unable to connect to server. Traefik reverse proxy, letsencrypt certs, web works, app doesn't work. Force stop && clear cache doesn't help. -> Connect Anywhere, Home Assistant Cloud"
"Works great on the local network. After an easy setup. However I can't access it remotely. Where I can add my duckdns address? Or even change my local one? Also, if you could make it so rotating the phone from portrait to landscape doesn't refresh, that would be freakin awesome!","Review -> Remote Access, Display Orientation, Custom Domain Configuration"
"The only issue, when changing colors in scene editing, it is a little flaky. It jumps all over the place. It is better using a computer to edit scenes. Outside of that, love the app!","Review -> Scene Editing, Color Changing, Mobile App Usability"
App works great until you try to setup remote access with duck dns and let's encrypt... I can login from the browser on my phone but not with the app using domain or IP address the app doesn't seem to have a way to handle self signed certificates like on chrome when it warns you that the certificate is self signed and gives you the option to proceed any way 5 stars if fixed!!! Thanks,"Review -> Remote Access, Certificate Handling, Compatibility with Duck DNS and Let's Encrypt"
"Please fix the problem reported by another reviewer. After deleting authentication token, the app says ""unable to connect to home assistant"" and HA log has ""Login attempt or request with invalid authentication from 192.168.1.150"" entry which is the IP of the android device. The retry button does not do anything. UPDATE: To fix the problem above, do NOT reinstall the app. it does not help. Instead, keep the app installed and delete it's data and cache (android settings). This will effectively reset the app.","Review -> Authentication, Connectivity, Data Management, Cache Management, User Interface"
"Great app but please improve gps features with more settings, like update by time frequency or distance and accuracy. A lot of times when app is in background the position is updated after half hour or isn't updated! App ignore battery optimization but on my Huawei P20 when app is in background position didn't never update. To avoid this I suggest a persistent notification.","Review -> GPS Features, Background App Refresh, Battery Optimization, Notification Settings, Location Updates, Update Frequency, Accuracy Settings"
"Great option to replace the chrome browser version, however it's quicker to force kill the app and restart than to wait for it to 'reconnect' when it has been in the background. I also get semi regular notifications from Android that the app is taking a lot of battery power.","Review -> Background App Refresh, Battery Efficiency, Reconnection Feature"
"Great app, but a recent change broke the theming and now the app is always in a half dark mode making a lot of the screen content hard to read. I wish there was a way to force dark mode on or off - Home Assistant is light, so having it look dark on the app is weird and not optimized.","Review -> Theming, Dark Mode, Display/Screen Content Readability"
"Good app so far but seems to have a memory issue of some sort on my tablet, having it up for a long period makes it unusable and have to force close and restart app. Using it once in a while is fine but was hoping to leave the app open all the time.","Review -> Performance, Stability"
"First release without any bugs. But i feel bit difficult to scroll at custom components. Except this, everything feels smooth. Edit: (Feb 2020) app opens fast, but after using/creating automation editor, the screen getting very very slow and unable to save the automation with save floating button as it's not detecting. Edit: (Mar 20) everything works, except when I'm in local network (specefic router SSID), it's not connecting local IP address. It's still trying to connect public address.","Review -> Performance, Custom Component Usability, Automation Editor, Connectivity, Save Functionality, Local Network Connectivity"
"If I get the app runing and log in, it may work but you need to force kill it or uninstall every second startup. Once in the app the GPS detection is totally off, rendering any location automation useless. Off I men by several hundred meters in next neighborhood even when detected home wifi. Other GPS apps work fine from fitness trackers to mapps. This persists for months while being worked on features you can't use... sadly","Review -> App Stability, GPS Detection, Location Automation, Wifi Detection"
"A consistent issue is having is the application will not connect right away. I have to retry 10-15 times in a row until it finally connects. The, I also use the bit for my Google watch but have to start the application on my phone first before I can use my watch. So to open my garage door (most of the time) is to open my phone app and wait for it to connect and I can use the button on my watch. Worthless.","Review -> Connectivity, Wear OS Compatibility, Mobile App Performance"
"EDIT: New record, 5.0h runtime in the background, resulted in 3160mah used by it. Is a while (true) loop running in the background? How is this possible? OLD: The recent updates basically made my device unusable. This app sucks 37% off my battery while it's just running in the background, even the screen uses way less... Otherwise it's a great app. Edit: It's now worse, with using 47% of my battery while running the background. 1786mah of a full day. My rating is now lower ...","Review -> Battery Life, Background Process Management"
"App keep crashing after March update. U installed and installed, same issue. Is there a way to rollback to previous version? One prompt came out, saying updated Android Webview is causing HA app to crash. Rolled back Android Webview to previous version, still the same. Please help.","App keep crashing after March update -> Stability, Update Management 
Updated Android Webview is causing HA app to crash -> Compatibility, Third-Party Integration"
Since the last update I cannot connect to my Home Assistant server. The error message states that the Mobile App integration is not configured on my server. Manually added the Mobile App integration to the configuration.yaml file but it did not fix the issue. Please advise.,"Review -> Mobile App Integration, Configuration"
"I've set this app on my phone to update every minute when charging. So why did home assistant not get any updates for more than 20 minutes? If I hadn't taken the phone off the charger when it hit 90%, it would have charged beyond 90% (which I don't want) because the relevant automations just didn't trigger due to the lack of up-to-date info to act on :-(","Review -> Automation, Data Updates, Charging Status, Notification"
"Please give me an option to update my gps more frequently! Almost perfect other then too slow to update GPS position. Just need a couple minutes faster. I know it'll use more battery, but just give me a warning when I select it that it's my own risk.","Review -> GPS Update Frequency, Battery Life"
"Never works. Only connects maybe 20% of the time. I have to kill the app, edit my settings, remove the local address, save, activate, edit again, add local address back, save, activate, then maybe, just maybe will it connect. I have a Nabu Casa account and for awhile I just settled on letting the app connect via the cloud regardless of whether or not I was on my local network... well that doesn't work anymore too.","Review -> Connectivity, Cloud Connectivity, Local Network Connectivity, App Stability"
"Version 2023.10.2 is incredibly slow to load, requiring tens of seconds to load a complete dashboard, entity historical data, or lists of items (automations, entities, integrations). Numerous times I've seen the ""trouble loading"" dialog pop up when opening the app. Making matters worse is that this data doesn't seem to be cached very long, so the long loading is required each time I pick up my phone to check something or toggle an entity. Didn't have this problem with the previous app version","Review -> Loading Speed, Data Caching, Dashboard Loading, Entity Historical Data Loading, List Loading (Automations, Entities, Integrations)"
Connection keeps dropping out over wifi / mobile app. Never had an issue with the PC accessing home assistant in the web browser. Have also had issues with home assistant blocking the mobile app entirely at times. Seems like it really needs an update.,"Connection keeps dropping out over wifi / mobile app. Never had an issue with the PC accessing home assistant in the web browser. Have also had issues with home assistant blocking the mobile app entirely at times. Seems like it really needs an update.
-> Connectivity, Mobile App Compatibility, Update Mechanism"
"I love the app but... Please stop checking the url. I use the app on different locations and always cleared the url so that the app can automatically find the home-assistant server. When I now clear the url, the app tells me that the ""url can not be parsed"" ... Please help. I don't know the ip address (and have no way to check via my smartphone), and can not clear the ""faulty"" address (from different location) currently programed in the app...","Review -> Automatic Server Discovery, URL Configuration, Error Handling"
"Unfortunately theme in the HA and this app changed and now if you have date time object (possibly others as well), it's name can not be longer than 13 characters, otherwise it will be truncated. The datetime box is huge and takes the rest of the space although being mostly empty. I have reported this bug on the GitHub more than 6 months ago and nothing happened. After me urging it after months I got response that they ""might adjust the theme"". I have to lower the rating.","Review -> User Interface, Data Representation, Theme Customization"
latest version no longer knows when it is on the local network to change status even when opening the app while on the local network it stil thinks it is not home and it only gets worse now it doesn't know when I am not on local network it doesn't update it location at all one of it's features that I liked no longer functions,"Review -> Location Awareness, Automation, Remote Access"
"I cant even get past the first screen on this app. Just says ""Select your home assistant server"" and i see a progress bar thats just spinning in an infinite loop. I only gave this a 2 because im pretty sure it works better than my current app, i just cant get past this loading screen.","Review -> Server Connection, Loading Screen, Initial Setup"
"kinda useful, but the app is hidiously laggy (to the point I keep switching switches off because I think they didn't react). Also widgets feel like an afterthought that doesn't work well and the battery consumption is ridiculous (drains as much as google maps navigating even without any sensors enabled)","Review -> Performance, Widget Functionality, Battery Life"
"Still not working when not connected through internal LAN. All stuff configured correctly (nginx, certificate, port redirection). It works flawlessly in browser, therefore it's obviously a problem of the app.","Review -> Remote Access, Connectivity"
"The latest update is using a lot more battery in background than before. My pixel 6 pro now shows 25% of battery goes to HA, even though screen time is only a few minutes. With exactly the same settings a month ago there was no such problem.","Review -> Battery Life, Background Process Management"
"Tried this a while ago and was a dud. Much better now and I have it on two newer phones. However, I dusted off a Samsung A20, with Android 9. The A20 does not have the 5G connection to my router, so good job it has the older G watzit! EXCEPT the app, when running on an A20, with Android 9, and less than 5G, cannot connect to the server. So, if you've older phones (and the A20 ain't that old), and you expect to use them around the house as mounted HA consoles, and they don't run on 5G, don't bother.","Review -> Connectivity, Compatibility"
"Great app but freezing on Android. Every time I launch de app, it freezes. I need to stop it and restart it several time until I get lucky. I like the app though, and the capability to connect easily o mobile to my Raspberry 4 with Hassio running.","Review -> Stability and Performance, Connectivity to Raspberry Pi with Hassio"
Cannot access the external url Not able to configure the app with external url. U installed and re installed several times. Would be good if it can be accessed outside your own network Update: had to clear the cache of the app locally and can now configure it.,"Review -> External Access, Cache Management, Configuration"
"For some reason, after formatting my device, it always fail to log in for supposed incorrect username or password. I use a password manager to store and it logs in correctly in my local web (home assistant os, rp2b) with the same user.","Review -> Login/Authentication, Password Management"
"I wish I could open the app settings without deleting all app data. I wish I could get it to retry to connect to my home assistant instance, instead of caching an nginx default page.","Review -> App Settings, Connection Retry, Cache Management"
Great app to access HA. Would like it to use HA server time zone when travelling so that logbook and history events do not use local time zone you are currently in. Changing time zone on the app device helps to get correct times displayed but why do you have to this??,"Review -> Time Zone Handling, Logbook, History Events, Device Time Zone Synchronization"
Like it. Just a small change that would be good. Give the option to refresh your custom panel. I'm creating one in react and I need to uninstall and reinstall the app to get the new updates I make. It must pull in the js when installing the app. Can we refresh the cached js in the app config tab,"Review -> Custom Panel Refresh, App Update Mechanism, Cache Management"
"Works as intended. Currently doesn't allow me to use the mic (needed for Almond), and I can't seem to be able to enable mic permission on the app from the phone settings.","Review -> Microphone Permission, App Permission Settings"
"Stuck in dark mode which makes much of the interface harder to read. I found the setting to choose modes, but it doesn't change the background at all.","Review -> User Interface, Theme/Display Mode"
Finally it's here. Basic functions are same as web UI but notification switch is grayed out. I can receive chrome notification on web GUI though. please fix the notification in next release!,"Review -> Notification Feature, Mobile App Functionality"
Works ok but you cannot change the appearance of dashboards for the visually impaired or elderly or even for fun so without some proper design features it's use is extremely limited.,"Review -> Customization Options, Accessibility Features, User Interface Design"
"Was my favorite app on my phone until 2 days ago. I don't always want my location on, and the app is now prompting me to turn it on before a can access the rest. Otherwise, I love this app, and everything HA. Please get rid of the location prompt","Review -> Location Services, Accessibility/Permission Settings"
"Pretty awesome app, behaves well for how it renders. Only gotcha is you cant have multiple HA instances connected to the app (example: one at a friend's house and another at your house)","Review -> Multi-Instance Connection, Scalability"
"Open the app and I get a blank white page that says, ""select the instance you would like to connect to"", then that's it. What the hell does that mean and why isn't there anything to choose from. There is nothing to click on, no icons, nothing, no settings, nothing. Completely useless.","Review -> Instance Selection, User Interface, Connectivity Options"
"When using the app with a local IP address and trying to access media, I get SSL errors. On the forums the HA team said the app requires SSL and they will not change this. This is a load of rubbish, no SSL should be fine for local connections, hence my rating. Also there is no way to clear the logbook and many have complained of this online. Avoid.","Review -> SSL Support, Logbook Management, Local Connection Support"
Home Assistant Internal Connection URL doesn't seems to work. It always tries to use Home Assistant URL which is by default and mainly used as external URL. Please fix Internal URL. I'm using this app on OnePlus5,"Review -> Internal Connection URL, Home Assistant URL"
"Doesn't detect all my devices. Help text is hopeless, dives right into editing config files and sending commands but doesn't explain where or how. Written by people who already understand it for the same audience. Useless.","Review -> Device Detection, Documentation/Help Resources"
After the latest update the HA mobile app location/zone reporting is received by HUGE delays (30 mins or more). It renders all location based automatisation useless. I wish for less added feutures but flawless functionality as in the past...t,"Review -> Location Reporting, Automation Functionality, Mobile App Performance"
"Huh? That's what I said when I first installed the Android app and took a look at the mess of it's onboarding and design ð¤¢ and later, when I took a second crack at trying the app and went to its web page â ""Huh?"" Was again all I could say in the face of that, comically confusing jigsaw puzzle of an app! ð¤® Yikes","Review -> Onboarding Process, User Interface Design"
Nasty problem: if you use a large font you get stuck in the dialog about permission to access location data. You can't scroll down to 'finish'.,"Review: if you use a large font you get stuck in the dialog about permission to access location data. You can't scroll down to 'finish'. 
-> Font Size, Location Services, User Interface"
Works great but it requires gps to determine if you are on a specific wifi network for using internal url i stead of external. I am not a fan of having gps on always.,"Review -> Location Services, Wifi Connectivity, Internal URL Access"
"Since the new update, it loads the data faster when opening the app. I will leave 5 stars once the devs figure it out to cache things, so there is no need to look at the loading data screen. If this native app can't use caching to improve startup etc compared to a browser.... then what's the purpose of the native app? Just make a PWA instead","Review -> Data Loading Speed, Caching Capability, Startup Performance"
"The app refuses to accept my tls certificate, with no option to override the decision. What a ridiculous behavior by an app that is made to connect to people's private servers. A warning would have been fine but refusing to work... Fail.","Review -> TLS Certificate Validation, Error Handling and Override Options"
"Horrible app since the first screen asks: ""Select the instance you would like to Connect to:"" What does that mean. There should be instructions to let me know what I'm suppose to do next. As for all the youtube video are already on button menus, there's no instructions on what I'm suppose to do next...","Review -> User Guidance, Onboarding Process, Instructional Content"
"The app worked on my old phone, but on my new phone, it won't save my URL. Upon first launch, it prompted me for the URL, so I entered it. The next day, I opened the app and it prompted me to select my instance, but there were no options. I'm stuck using a browser for now.","Review -> URL Saving, Instance Selection"
Trying to copy/paste into the username field crashes the app. Other than that it works well. Looks like the issue is already reported to gitlab (home-assistant-android issue 103),"Review -> Username Field, Copy/Paste Functionality, App Stability"
"Does not support proper webview so can't be accessed behind a Google OAuth proxy outside of the home network. Works well at home, but if you want to use any mobile related triggers away from home, you'll have to harden your server another way","Review -> Remote Access, Security Features"
"Really needs to provide the actual http error when unable to connect remotely. ""Unable to Connect"" is not useful.","Review -> Error Messaging, Remote Connectivity"
"After 2023.9 core update loading of custom components is a huge problem. Probably changed way of handling with cache, as purging doesn't help. Can't load Dwains Dashboard on Android.","Review -> Custom Component Loading, Cache Handling, Compatibility with Android"
"Recent update broke my theme as well, making what looks like the background and some text very dark. Backend selected themes also doesn't make a difference to styling","Recent update broke my theme as well, making what looks like the background and some text very dark. Backend selected themes also doesn't make a difference to styling -> User Interface, Theme Customization"
"Can't turn off certificate checking. Every application imaginable let's you turn off certificate validation, but not this one.","Can't turn off certificate checking. Every application imaginable let's you turn off certificate validation, but not this one. -> Certificate Validation, Security Features"
"Use on 2 phones. The first is great, the second one every 3 or 4 days refuses to update my location so my out of home routine is broken. Like today, after 8 hours I've discovered that I never left my home","Review -> Location Tracking, Automation"
Can't use an IP address in the URL. Only accepts a fully qualified hostname. Not very useful when setting up a test configuration on my home network.,"Review -> URL Configuration, Network Compatibility"
i can't login as the login page are half hidden on the top and I'm not able to click on username to write my username. Only the space of password are visible.,"Review -> Login Functionality, User Interface, Responsiveness"
Keep trying to setup but it can't get past the startup page. Some instructions on what to do would be great.,Review -> Startup/Installation Process
"needs a way to ignore ssl cert errors when on LAN, and a look at the location tracker. otherwise, very nice Hass experience!","Review -> SSL Certificate Error Handling, Location Tracking"
Not even finding a server. Tried manual local Web address and IP address with no success. My internet router is 5G Wi-Fi 6,"Not even finding a server. Tried manual local Web address and IP address with no success. My internet router is 5G Wi-Fi 6 -> Connectivity, Server Discovery, Local Network Connectivity"
"Followed the config documentation, works great first go, works from WAN side access fine too (using Nginx Proxy Manager for SSL etc).","Review -> Remote Access, SSL/TLS Encryption, Compatibility"
"Nabu Casa shoved an always-on Assistant into their platform, that you can't disable. They've been asked to add a settings to disable it. They refuse. You're in my private spaces; my phone, my home. But you act like they're yours, not mine. You forget yourselves, I think. Why would I ever trust you again? Get out, you rude, unethical monsters. You should be utterly ashamed of yourselves. The amount of work it's been removing ESPHome from my clients' devices has been staggering. Begone.","Review -> Privacy Settings, Disable Assistant Feature"
"Home Assistant and it's developers work tirelessly to provide a way for devices from multiple brands to truly work together, and Home Assistant is by far the most polished yet customizable attempt so far. A lot of users leaving bad reviews don't seem to understand that this isn't (yet) meant to be a turnkey solution. It's a toolbox for the power user to tinker with their smart home and dial it in exactly the way they want it, which may require some work and light coding along the way.","Review -> Customizability, Compatibility, Automation, Privacy"
"This review is for the WearOS app (not the phone app, which is fantastic.) In a nutshell, it doesn't work for me. I use a non-LTE watch so everything goes through the phone. The watch app needs an option to just communicate THROUGH the Android android app. Instead, it seems to use the android app only for setup, and then attempts to talk directly to Home Assistant. This doesn't work as my HA server requires a VPN. If the watch just let the phone app communicate with HA, it would work.","Review -> Wear OS Compatibility, VPN Support, Communication Protocol"
"This app, along with the core, has only gotten better by the day over my 3 years of use. The last 6 months to a year have seen so much growth. Literally, every day is something to discover, something to learn, and something to share or teach. It not only functions, it works very well! The amount of people and effort given to this project and anything open source is truth and beauty.","Review -> Functionality, Compatibility, Automation, Privacy, Open Standards, Discoverability, Configuration, Performance"
"Recently setup my own Home Assistant using Docker and it is incredibly cool with what the customization allows. I was wondering if the developers of this app could enable the feature to play media from the app, while using other apps. Like if you attempt to play music and switch apps, it will pause and the media isn't recognized by Android in the notification bar. Great app overall.","Review -> Background Media Playback, Notification Bar Integration"
"Great app, really miss ""enable all sensors"" though. It was such an important feature as it's a chore having to enable 60+ sensors one by one manually. Sort of understand why it was removed, but doesn't make it any less inconvenient to everyone that wants to enable all sensors (or most of them) and doesn't justify totally removing that altogether. Should have left it, perhaps with a clear warning and confirmation that battery life will be affected if you enable all sensors. Outside of that one seriously important (to me and others) thing, solid app as always. Hope to have that back though.","Review -> Sensor Enablement, Battery Life"
"Great app. Love all of the recent improvements. As a note, I've found that disabling battery optimization for the app in my phone's system settings helps the location to report properly in the background. I've also found it helps to install GPS Status & Toolbox to improve the location accuracy while in the background. One feature wishlist item- could the battery level be a separate sensor entity like in the iOS app? I use a template sensor now but wouldn't mind not having the extra config.","Review -> Location Reporting, Battery Optimization, Location Accuracy, Sensor Entities, Battery Level Sensor"
"Works great. I feel like the monthly subscription fee for remote access is a little high ($65 USD / ~$100 AUD). I know there's other ways around it, but I'd like to support the project. I'd be happier if it were $40 USD / ~$60 AUD a year.","Review -> Remote Access, Pricing"
"Although home assistant is an excellent product, the mobile experience is obviously not a top priority. The dashboards work fine. Many maintenance things such as writing a template or certain selection boxes are not usable on mobile.","Review -> Mobile Experience, Template Writing, Selection Boxes, Dashboard"
"Home Assistant is so much better for controlling all my smart home stuff. Way more advanced automations, easy to integrate new things, & entirely local! Top tier, love it","Review -> Advanced Automations, Integration Capability, Local Control"
"Good companion app. UPD. App recently started to ignore DoNotDisturb mode and play notification sound, but does not show any notification. In settings I have Show notifications turned On and all notifications Silent.","Review -> Notification Settings, Do Not Disturb Mode"
Select the instance you would like to connect to: That's it. After install that's the only thing that happens. That's the app? Like what am I missing here? *edit* Lol I could have deleted the 1st part of my comment but I will let it stay to show what a noob I am. Now that I realize this was a companion app... I know pretty much nothing about coding but so far I've taken my cameras all my lights and plug ins and Gate opener offline. Yeah I love the app. Wish it was a bit more noob friendly.,"Review -> Ease of Use, Companion App Functionality, Device Connectivity, Automation Capability"
